#,Name,TOM,People,Speed,Range,Payload,OEM,Comments
1,A2-Cal Aptos Blue,2000,3,220,450,None,#VALUE!,None
2,Vahana-Beta,815,2,230,100,200,#VALUE!,None
3,ACS Aviation Z-300,1000,2,222,300,None,#VALUE!,None
4,Advanced Research Foundation Cyclocar,None,6,250,500,600,#VALUE!,"Hybrid, payload 600 kg"
5,Advanced System Engineering - FIPSI BX4,449,2,72,483,None,#VALUE!,None
6,Advanced System Engineering - FIPSI WX4,449,2,72,483,None,#VALUE!,None
7,aeroG Aviation aG-4 Liberty,5670,12,519,None,None,#VALUE!,"Canard wing with rear high wing, 15 m span"
8,aeroG Aviation UV-4,5670,0,519,None,None,#VALUE!,None
12,AirisOne,None,5,282,322,None,#VALUE!,None
13,Airspace Experience Technologies MOBi-ONE V1,None,4,240,103,200,#VALUE!,Payload 200 kg
15,AMSL Aero Vertiia,None,6,300,250,None,#VALUE!,"Range of 800 km for hybrid, "
16,Archer Maker,None,2,241,96,None,#VALUE!,None
17,Archer (Unnamed 5 seat eVTOL),3175,5,241,100,None,#VALUE!,None
18,Aston Martin Volante Vision,None,3,402,805,None,#VALUE!,Hybrid
20,Aurora LightingStrike,5900,0,555,None,None,#VALUE!,None
21,Autonomous Flight Y6S,None,1,201,130,None,#VALUE!,Ducted props
22,Autonomous Flight Y6S Plus,None,1,201,130,None,#VALUE!,None
23,Avioneo Robotics 2345,None,3,300,2000,None,#VALUE!,Cruise is from 160 to 300 km/h
25,Baaz Production Model,None,5,300,200,600,#VALUE!,"Range 300 km with hydrogen fuel cells (200 with batteries), max payload 600 kg"
26,Bartini Flying car,1100,4,300,150,None,#VALUE!,"Range 500 km with hydrogen fuel cells, battery weight 320 kg"
28,Bell Nexus 4EX,3175,5,241,97,None,#VALUE!,Hybrid range is 241km
29,Bell Nexus 6HX,2720,5,288,None,None,#VALUE!,Hybrid electric range is 288 km
30,Beta Technologies Ava XC,None,2,277,241,None,1814,Empty weight 1814 kg
31,Cadillac VTOL,None,1,None,90,None,#VALUE!,None
32,CFC AirCAR,None,5,322,1609,None,#VALUE!,Literally a car with wings
34,CycloTech Passenger Demonstrator,2200,None,150,85,None,#VALUE!,None
41,Deep Blue Aviation Sky Cruiser,None,10,140,None,None,#VALUE!,Also proposed helium lift
42,DeLorean Aerospace DR-7,None,None,389,193,None,#VALUE!,None
43,Detroit Flying Cars WD-1,680,2,201,644,None,#VALUE!,Hybrid 
45,Digi Robotics Droxi,None,14,100,None,None,#VALUE!,Delivery drone
46,Dufour aEro 2,None,2,320,800,None,#VALUE!,Rotating wing
47,Dufour aEro 3,None,7,350,120,None,#VALUE!,800 km with hybrid configuration
49,Eco'Trip,550,2,115,None,None,#VALUE!,Amphibious vehicle
51,EVA X01,None,2,400,250,None,#VALUE!,None
56,Freedom Transports Zero G eCruzer,None,8,676,2778,None,#VALUE!,None
66,Grug Group SBX,None,5,300,400,None,#VALUE!,"Range questionable, based on other statistics"
68,HopFlyt Venturi,815,5,220,185,None,#VALUE!,None
70,Hyundai S-A1,None,5,290,97,None,#VALUE!,None
74,Jetoptera J2000,907,2,322,322,None,#VALUE!,None
